,date,plate,outcome
98828,2013-08-13,123NINA,accepted
53614,2012-03-07,PBAVAS,accepted
103484,2013-10-11,IAMAA,accepted
52523,2012-02-25,WHTDOBIE,accepted
85440,2013-03-21,GEEMA,accepted
17132,2011-03-22,G1TTYUP,accepted
882,2010-10-08,GOJO,accepted
88595,2013-04-19,TSS,accepted
65864,2012-06-25,HUDSON,accepted
38873,2011-09-16,DAFFU,accepted
16420,2011-03-17,YFZ1,accepted
48640,2012-01-16,GNAINC2,accepted
130744,2014-09-11,MOAN2NE,accepted
90521,2013-05-08,MADE4SIN,accepted
106596,2013-11-27,SRRYERF,accepted
100490,2013-09-04,CHLMARK,accepted
2466,2010-10-22,NUSEASON,accepted
42661,2011-10-28,8USC,accepted
123105,2014-06-17,C1RKUS,accepted
122898,2014-06-14,STFIGTR,accepted
94154,2013-06-18,06HRLINC,accepted
127726,2014-08-08,9BONES,accepted
51323,2012-02-14,LUPOI,accepted
87397,2013-04-09,GR82NS,accepted
117110,2014-04-18,GRETCHN,accepted
109088,2014-01-14,RST3,accepted
59234,2012-04-20,OMGGO,accepted
80734,2013-01-23,BIGNBEFY,accepted
74041,2012-10-04,JRODFAN,accepted
99893,2013-08-24,POLLAB1,accepted
113839,2014-03-20,71GC29,accepted
21025,2011-04-12,TAMGIRL,accepted
71554,2012-08-31,RIPBRUCE,accepted
75093,2012-10-19,TREMSHEN,accepted
43591,2011-11-10,TWNQ,accepted
50928,2012-02-09,67DAVID,accepted
26274,2011-05-17,RES4CUE,accepted
96778,2013-07-18,XREALLYX,accepted
87383,2013-04-09,33DH89,accepted
25616,2011-05-12,HORSE68,accepted
29618,2011-06-15,BIGNRICH,accepted
65318,2012-06-19,ZULEBEN,accepted
49287,2012-01-25,JJGOMEZ,accepted
24566,2011-05-04,MANILOW6,accepted
28134,2011-06-02,7OFNINE,accepted
7036,2010-12-14,BULLIT09,accepted
72375,2012-09-12,AVI09,accepted
10026,2011-01-21,73SIII88,accepted
65403,2012-06-20,ANTALYA,accepted
1122,2010-10-09,49VML,accepted
59827,2012-04-25,A1RRON,accepted
17035,2011-03-22,NYPITS,accepted
41351,2011-10-14,FELDMD,accepted
67586,2012-07-14,GOTSWAGR,accepted
119492,2014-05-10,DIM3LO,accepted
113401,2014-03-15,GENOSGRL,accepted
26598,2011-05-19,DR4TEETH,accepted
27275,2011-05-25,1ALIEN,accepted
23302,2011-04-26,ELBOROOM,accepted
77285,2012-11-28,PLBUILD3,accepted
70361,2012-08-16,DCEPTICN,accepted
44152,2011-11-18,NYCRC,accepted
40297,2011-10-01,AWAGAH,accepted
117648,2014-04-23,SLIDMSTR,accepted
56648,2012-03-29,ABUELA3,accepted
79431,2013-01-03,USMCH1,accepted
26264,2011-05-17,PAPACOHN,accepted
9485,2011-01-14,XDAGX,accepted
18257,2011-03-26,SHARNAB,accepted
43890,2011-11-15,UTOG183,accepted
98596,2013-08-10,PREME,accepted
54029,2012-03-10,4BELA,accepted
58724,2012-04-14,ONMYLVL,accepted
7348,2010-12-17,LEDZEPP2,accepted
52918,2012-03-01,SIMRAY,accepted
22769,2011-04-22,SUE427,accepted
95949,2013-07-09,YEMILY,accepted
60245,2012-04-28,GASHLAW,accepted
35637,2011-08-12,LOVPNK,accepted
35244,2011-08-09,U3X,accepted
107447,2013-12-11,FREELECT,accepted
64700,2012-06-12,VRVOOOOM,accepted
48820,2012-01-19,GEM86,accepted
