,outcome
942,rejected
1531,rejected
94733,accepted
21025,accepted
35290,accepted
17104,accepted
1324,rejected
1560,rejected
655,rejected
15643,accepted
290,rejected
91,rejected
24834,accepted
15459,accepted
16420,accepted
922,rejected
100666,accepted
588,rejected
1496,rejected
30178,accepted
130669,accepted
19925,accepted
1396,rejected
881,rejected
1366,rejected
480,rejected
1181,rejected
1117,rejected
266,rejected
1040,rejected
910,rejected
685,rejected
1589,rejected
29635,accepted
1275,rejected
539,rejected
118620,accepted
1160,rejected
1247,rejected
27157,accepted
235,rejected
70056,accepted
1224,rejected
584,rejected
42666,accepted
1262,rejected
39234,accepted
5048,accepted
395,rejected
1197,rejected
1573,rejected
1066,rejected
349,rejected
569,rejected
62625,accepted
90857,accepted
1403,rejected
1326,rejected
39383,accepted
87785,accepted
1585,rejected
31349,accepted
121,rejected
95,rejected
1389,rejected
76329,accepted
124131,accepted
49697,accepted
576,rejected
17194,accepted
122834,accepted
333,rejected
10011,accepted
128051,accepted
48274,accepted
2561,accepted
35694,accepted
70690,accepted
620,rejected
105690,accepted
1579,rejected
84895,accepted
1135,rejected
17065,accepted
4639,accepted
679,rejected
71285,accepted
883,rejected
279,rejected
131609,accepted
75830,accepted
1093,rejected
1536,rejected
777,rejected
1158,rejected
127726,accepted
812,rejected
11,rejected
34452,accepted
100427,accepted
882,accepted
87,rejected
93881,accepted
1499,rejected
93866,accepted
209,rejected
66349,accepted
123931,accepted
22219,accepted
35862,accepted
1079,rejected
444,rejected
1370,rejected
112622,accepted
120852,accepted
109409,accepted
1479,rejected
42685,accepted
1289,rejected
74076,accepted
102092,accepted
5133,accepted
57160,accepted
1031,rejected
74374,accepted
10026,accepted
6,rejected
2193,accepted
121420,accepted
27680,accepted
113763,accepted
308,rejected
1441,rejected
100,rejected
1547,rejected
58724,accepted
11992,accepted
122285,accepted
1221,rejected
68286,accepted
1622,rejected
49177,accepted
543,rejected
149,rejected
1514,rejected
144,rejected
106,rejected
464,rejected
305,rejected
24118,accepted
223,rejected
70554,accepted
37500,accepted
1561,rejected
85551,accepted
636,rejected
131078,accepted
53513,accepted
1546,rejected
715,rejected
3257,accepted
1442,rejected
1447,rejected
102758,accepted
58203,accepted
36918,accepted
701,rejected
518,rejected
48227,accepted
61689,accepted
1269,rejected
855,rejected
70237,accepted
703,rejected
1488,rejected
1493,rejected
99777,accepted
80401,accepted
1312,rejected
775,rejected
75637,accepted
73635,accepted
1518,rejected
34036,accepted
441,rejected
102678,accepted
1174,rejected
122768,accepted
999,rejected
199,rejected
1615,rejected
1039,rejected
101174,accepted
95934,accepted
72507,accepted
869,rejected
75720,accepted
1141,rejected
1352,rejected
80241,accepted
430,rejected
38509,accepted
91511,accepted
78688,accepted
1644,rejected
98382,accepted
12404,accepted
109349,accepted
1251,rejected
136,rejected
858,rejected
176,rejected
926,rejected
1249,rejected
38215,accepted
71554,accepted
74698,accepted
61,rejected
72377,accepted
97073,accepted
78896,accepted
1163,rejected
260,rejected
92784,accepted
59245,accepted
538,rejected
40474,accepted
1416,rejected
360,rejected
93205,accepted
192,rejected
1480,rejected
38377,accepted
68563,accepted
8641,accepted
122292,accepted
124873,accepted
1569,rejected
6318,accepted
84944,accepted
1267,rejected
62608,accepted
39724,accepted
766,rejected
1510,rejected
1,rejected
52608,accepted
306,rejected
1019,rejected
52994,accepted
806,rejected
602,rejected
94731,accepted
129477,accepted
1346,rejected
24018,accepted
956,rejected
119,rejected
122039,accepted
478,rejected
48526,accepted
56467,accepted
21887,accepted
1353,rejected
278,rejected
1317,rejected
48640,accepted
90074,accepted
126851,accepted
38794,accepted
36198,accepted
157,rejected
1115,rejected
442,rejected
103943,accepted
388,rejected
27,rejected
28242,accepted
46878,accepted
124423,accepted
1034,rejected
479,rejected
32,rejected
72899,accepted
112765,accepted
1087,rejected
21037,accepted
43591,accepted
5710,accepted
92343,accepted
911,rejected
122231,accepted
629,rejected
94574,accepted
107649,accepted
105267,accepted
76429,accepted
124630,accepted
11808,accepted
24810,accepted
1506,rejected
150,rejected
113048,accepted
31342,accepted
75203,accepted
1365,rejected
26598,accepted
436,rejected
113820,accepted
838,rejected
1627,rejected
58123,accepted
106935,accepted
98156,accepted
118733,accepted
1668,accepted
1345,rejected
7438,accepted
94651,accepted
66,rejected
19814,accepted
35748,accepted
1540,rejected
641,rejected
65087,accepted
100610,accepted
99502,accepted
128668,accepted
113,rejected
117596,accepted
90905,accepted
840,rejected
1451,rejected
31951,accepted
131895,accepted
1634,rejected
58,rejected
125044,accepted
52471,accepted
363,rejected
935,rejected
1430,rejected
722,rejected
64704,accepted
37401,accepted
14299,accepted
21843,accepted
398,rejected
553,rejected
1618,rejected
1566,rejected
393,rejected
43598,accepted
7861,accepted
115360,accepted
85825,accepted
236,rejected
129809,accepted
56578,accepted
85093,accepted
616,rejected
311,rejected
76630,accepted
100524,accepted
83630,accepted
1206,rejected
1105,rejected
1545,rejected
326,rejected
25680,accepted
749,rejected
32976,accepted
1335,rejected
377,rejected
9854,accepted
71514,accepted
1316,rejected
639,rejected
95353,accepted
67685,accepted
69929,accepted
70849,accepted
85156,accepted
19594,accepted
1417,rejected
624,rejected
56543,accepted
415,rejected
615,rejected
10973,accepted
101802,accepted
3868,accepted
245,rejected
43231,accepted
39774,accepted
597,rejected
541,rejected
900,rejected
47816,accepted
65586,accepted
1505,rejected
67187,accepted
49502,accepted
26466,accepted
94930,accepted
1175,rejected
923,rejected
