"","date","plate"
"1","2010-10-01","ANDARE"
"2","2010-10-01","1TWIN"
"3","2010-10-01","11VROD"
"4","2010-10-01","4SKNMC"
"5","2010-10-01","7IRON6"
"6","2010-10-01","FINALI"
"7","2010-10-01","GOKEY"
"8","2010-10-01","TLR"
"9","2010-10-01","TRM"
"10","2010-10-01","G1DBE"
"11","2010-10-01","UBPHD"
"12","2010-10-01","CCNMO"
"13","2010-10-01","CEF1A1"
"14","2010-10-01","VSPA"
"15","2010-10-01","WS28"
"16","2010-10-01","DASH2"
"17","2010-10-01","ELIE"
"18","2010-10-01","2CHARM"
"19","2010-10-01","2TWINS"
"20","2010-10-01","K2JFK"
"21","2010-10-01","2002A"
"22","2010-10-01","4LOU4"
"23","2010-10-01","4LUCK"
"24","2010-10-01","77OH7"
"25","2010-10-01","ML350"
"26","2010-10-01","MMFP"
"27","2010-10-01","MOYER"
"28","2010-10-01","NIPA"
"29","2010-10-01","NYVP2"
"30","2010-10-01","NYY347"
"31","2010-10-01","PR1999"
"32","2010-10-01","PURR"
"33","2010-10-01","AACVI"
"34","2010-10-01","ABL34"
"35","2010-10-01","SJPCADET"
"36","2010-10-01","SKINSCHL"
"37","2010-10-01","SKOERTS"
"38","2010-10-01","EZEL07"
"39","2010-10-01","SLOVE"
"40","2010-10-01","SMOVADO"
"41","2010-10-01","SNIK613"
"42","2010-10-01","ALL4RISA"
"43","2010-10-01","SONIDO1"
"44","2010-10-01","ALWL"
"45","2010-10-01","AMTF168"
"46","2010-10-01","SPYGURL"
"47","2010-10-01","FEARJAH"
"48","2010-10-01","ARMYNG"
"49","2010-10-01","FLASHBK2"
"50","2010-10-01","FORDPOWR"
"51","2010-10-01","A75"
"52","2010-10-01","A752"
"53","2010-10-01","BABYEVO"
"54","2010-10-01","F1LEONE"
"55","2010-10-01","BAM641"
"56","2010-10-01","TCAP"
"57","2010-10-01","TECHNK"
"58","2010-10-01","BELCOO"
"59","2010-10-01","BENNICK"
"60","2010-10-01","GOAUBRN"
"61","2010-10-01","TLUVSZ"
"62","2010-10-01","GPASLV"
"63","2010-10-01","TOOHAPPY"
"64","2010-10-01","TRACKER6"
